Optimizer    LR       Epochs   Hidden Layers  Accuracy   Precision  Recall     F1-Score  
SGD          0.0010   50       1              0.76       0.74       0.76       0.75      
SGD          0.0010   50       2              0.74       0.70       0.76       0.73      
SGD          0.0010   50       3              0.46       0.46       1.00       0.63      
BGD          0.0010   50       1              0.46       0.46       1.00       0.63      
BGD          0.0010   50       2              0.46       0.46       1.00       0.63      
BGD          0.0010   50       3              0.54       0.00       0.00       0.00      
MBGD         0.0010   50       1              0.50       0.00       0.00       0.00      
MBGD         0.0010   50       2              0.46       0.46       1.00       0.63      
MBGD         0.0010   50       3              0.54       0.00       0.00       0.00      
SGD          0.0100   50       1              0.80       0.78       0.78       0.78      
SGD          0.0100   50       2              0.80       0.78       0.78       0.78      
SGD          0.0100   50       3              0.76       0.74       0.76       0.75      
BGD          0.0100   50       1              0.71       0.62       1.00       0.76      
BGD          0.0100   50       2              0.46       0.46       1.00       0.63      
BGD          0.0100   50       3              0.54       0.00       0.00       0.00      
MBGD         0.0100   50       1              0.76       0.74       0.76       0.75      
MBGD         0.0100   50       2              0.81       0.79       0.81       0.80      
MBGD         0.0100   50       3              0.54       0.00       0.00       0.00      
SGD          0.0500   50       1              0.81       0.79       0.81       0.80      
SGD          0.0500   50       2              0.80       0.78       0.78       0.78      
SGD          0.0500   50       3              0.84       0.77       0.92       0.84      
BGD          0.0500   50       1              0.66       0.65       0.59       0.62      
BGD          0.0500   50       2              0.66       0.63       0.65       0.64      
BGD          0.0500   50       3              0.65       0.57       1.00       0.73      
MBGD         0.0500   50       1              0.80       0.80       0.76       0.78      
MBGD         0.0500   50       2              0.72       0.71       0.68       0.69      
MBGD         0.0500   50       3              0.76       0.78       0.68       0.72      
SGD          0.1000   50       1              0.86       0.84       0.86       0.85      
SGD          0.1000   50       2              0.81       0.79       0.81       0.80      
SGD          0.1000   50       3              0.84       0.79       0.89       0.84      
BGD          0.1000   50       1              0.76       0.74       0.76       0.75      
BGD          0.1000   50       2              0.74       0.74       0.68       0.70      
BGD          0.1000   50       3              0.65       0.62       0.62       0.62      
MBGD         0.1000   50       1              0.80       0.78       0.78       0.78      
MBGD         0.1000   50       2              0.78       0.76       0.76       0.76      
MBGD         0.1000   50       3              0.76       1.00       0.49       0.65      
