Model    Param1       Param2   Param3   Param4         T_Acc      T_Prec     T_Recall   T_F1       V_Acc      V_Prec     V_Recall   V_F1      
ANN      0.0001       50       1        SGD            0.53       0.53       0.54       0.54       0.51       0.55       0.49       0.52      
ANN      0.0001       50       2        SGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       50       3        SGD            0.85       0.89       0.80       0.84       0.81       0.85       0.79       0.82      
ANN      0.0001       50       1        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       50       2        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       50       3        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       50       1        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       50       2        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       50       3        MBGD           0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       250      1        SGD            0.80       0.80       0.82       0.81       0.78       0.79       0.79       0.79      
ANN      0.0001       250      2        SGD            0.82       0.80       0.88       0.83       0.80       0.79       0.86       0.82      
ANN      0.0001       250      3        SGD            0.71       0.70       0.74       0.72       0.68       0.71       0.67       0.69      
ANN      0.0001       250      1        BGD            0.47       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       250      2        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       250      3        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       250      1        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       250      2        MBGD           0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       250      3        MBGD           0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       500      1        SGD            0.81       0.80       0.82       0.81       0.79       0.81       0.79       0.80      
ANN      0.0001       500      2        SGD            0.75       0.77       0.73       0.75       0.75       0.77       0.77       0.77      
ANN      0.0001       500      3        SGD            0.88       0.88       0.87       0.87       0.85       0.86       0.86       0.86      
ANN      0.0001       500      1        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       500      2        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       500      3        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       500      1        MBGD           0.61       0.64       0.53       0.58       0.61       0.68       0.53       0.60      
ANN      0.0001       500      2        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       500      3        MBGD           0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       1000     1        SGD            0.82       0.82       0.82       0.82       0.81       0.83       0.81       0.82      
ANN      0.0001       1000     2        SGD            0.80       0.81       0.80       0.80       0.80       0.83       0.79       0.81      
ANN      0.0001       1000     3        SGD            0.78       0.79       0.78       0.78       0.76       0.79       0.77       0.78      
ANN      0.0001       1000     1        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       1000     2        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.0001       1000     3        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       1000     1        MBGD           0.36       0.00       0.00       0.00       0.34       0.00       0.00       0.00      
ANN      0.0001       1000     2        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.0001       1000     3        MBGD           0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        50       1        SGD            0.80       0.80       0.81       0.80       0.80       0.83       0.79       0.81      
ANN      0.001        50       2        SGD            0.81       0.80       0.82       0.81       0.78       0.79       0.79       0.79      
ANN      0.001        50       3        SGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        50       1        BGD            0.40       0.45       0.81       0.58       0.41       0.47       0.77       0.58      
ANN      0.001        50       2        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.001        50       3        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.001        50       1        MBGD           0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        50       2        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.001        50       3        MBGD           0.86       0.99       0.73       0.84       0.81       0.97       0.67       0.79      
ANN      0.001        250      1        SGD            0.87       0.87       0.87       0.87       0.85       0.86       0.86       0.86      
ANN      0.001        250      2        SGD            0.83       0.83       0.84       0.83       0.85       0.86       0.86       0.86      
ANN      0.001        250      3        SGD            0.78       0.70       1.00       0.82       0.82       0.75       1.00       0.86      
ANN      0.001        250      1        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        250      2        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.001        250      3        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        250      1        MBGD           0.62       0.61       0.69       0.65       0.65       0.66       0.72       0.69      
ANN      0.001        250      2        MBGD           0.13       0.19       0.23       0.21       0.17       0.26       0.28       0.27      
ANN      0.001        250      3        MBGD           0.81       0.86       0.74       0.80       0.80       0.85       0.77       0.80      
ANN      0.001        500      1        SGD            0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.001        500      2        SGD            0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.001        500      3        SGD            0.85       0.85       0.85       0.85       0.85       0.86       0.86       0.86      
ANN      0.001        500      1        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.001        500      2        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        500      3        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        500      1        MBGD           0.84       0.85       0.82       0.83       0.81       0.85       0.79       0.82      
ANN      0.001        500      2        MBGD           0.85       0.82       0.90       0.86       0.85       0.83       0.91       0.87      
ANN      0.001        500      3        MBGD           0.65       0.64       0.72       0.67       0.71       0.73       0.74       0.74      
ANN      0.001        1000     1        SGD            0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.001        1000     2        SGD            0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.001        1000     3        SGD            0.90       0.90       0.89       0.90       0.88       0.87       0.91       0.89      
ANN      0.001        1000     1        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.001        1000     2        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.001        1000     3        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.001        1000     1        MBGD           0.82       0.81       0.84       0.82       0.82       0.84       0.84       0.84      
ANN      0.001        1000     2        MBGD           0.75       0.76       0.72       0.74       0.76       0.79       0.77       0.78      
ANN      0.001        1000     3        MBGD           0.79       0.83       0.72       0.77       0.80       0.85       0.77       0.80      
ANN      0.01         50       1        SGD            0.89       0.89       0.89       0.89       0.86       0.86       0.88       0.87      
ANN      0.01         50       2        SGD            0.90       0.91       0.88       0.89       0.85       0.86       0.86       0.86      
ANN      0.01         50       3        SGD            0.85       0.83       0.88       0.85       0.85       0.84       0.88       0.86      
ANN      0.01         50       1        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.01         50       2        BGD            0.50       0.50       1.00       0.67       0.54       0.54       1.00       0.70      
ANN      0.01         50       3        BGD            0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.01         50       1        MBGD           0.78       0.78       0.78       0.78       0.78       0.79       0.79       0.79      
ANN      0.01         50       2        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.01         50       3        MBGD           0.71       0.65       0.91       0.76       0.72       0.68       0.91       0.78      
ANN      0.01         250      1        SGD            0.90       0.90       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.01         250      2        SGD            0.89       0.89       0.89       0.89       0.88       0.87       0.91       0.89      
ANN      0.01         250      3        SGD            0.90       0.91       0.88       0.89       0.86       0.86       0.88       0.87      
ANN      0.01         250      1        BGD            0.78       0.78       0.79       0.79       0.78       0.79       0.79       0.79      
ANN      0.01         250      2        BGD            0.56       0.56       0.54       0.55       0.54       0.58       0.49       0.53      
ANN      0.01         250      3        BGD            0.23       0.09       0.06       0.07       0.25       0.19       0.12       0.14      
ANN      0.01         250      1        MBGD           0.82       0.82       0.82       0.82       0.82       0.84       0.84       0.84      
ANN      0.01         250      2        MBGD           0.80       0.80       0.81       0.80       0.80       0.83       0.79       0.81      
ANN      0.01         250      3        MBGD           0.50       0.00       0.00       0.00       0.46       0.00       0.00       0.00      
ANN      0.01         500      1        SGD            0.90       0.91       0.88       0.89       0.86       0.86       0.88       0.87      
ANN      0.01         500      2        SGD            0.89       0.92       0.85       0.88       0.86       0.88       0.86       0.87      
ANN      0.01         500      3        SGD            0.90       0.91       0.89       0.90       0.86       0.86       0.88       0.87      
ANN      0.01         500      1        BGD            0.80       0.79       0.82       0.80       0.78       0.79       0.79       0.79      
ANN      0.01         500      2        BGD            0.88       0.92       0.83       0.87       0.85       0.88       0.84       0.86      
ANN      0.01         500      3        BGD            0.85       0.83       0.89       0.86       0.88       0.87       0.91       0.89      
ANN      0.01         500      1        MBGD           0.85       0.84       0.85       0.85       0.85       0.86       0.86       0.86      
ANN      0.01         500      2        MBGD           0.81       0.80       0.82       0.81       0.80       0.83       0.79       0.81      
ANN      0.01         500      3        MBGD           0.78       0.78       0.77       0.77       0.76       0.79       0.77       0.78      
ANN      0.01         1000     1        SGD            0.92       0.93       0.91       0.92       0.89       0.89       0.91       0.90      
ANN      0.01         1000     2        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.01         1000     3        SGD            1.00       1.00       1.00       1.00       1.00       1.00       1.00       1.00      
ANN      0.01         1000     1        BGD            0.82       0.82       0.82       0.82       0.81       0.83       0.81       0.82      
ANN      0.01         1000     2        BGD            0.80       0.81       0.79       0.80       0.80       0.83       0.79       0.81      
