2024-12-20 15:57:39,921 [INFO]: Trainer initialized.
2024-12-20 15:57:39,921 [INFO]: Creating and splitting the dataset...
2024-12-20 15:57:39,925 [INFO]: Visualizing the dataset...
2024-12-20 15:57:40,471 [INFO]: Data preparation complete.
2024-12-20 15:57:40,471 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=SGD, Layers=1...
2024-12-20 15:57:40,929 [INFO]: Epoch 1/50: loss: 0.7243, accuracy: 0.5000, val_loss: 0.7387, val_accuracy: 0.4625
2024-12-20 15:57:49,392 [INFO]: Epoch 50/50: loss: 0.6770, accuracy: 0.6250, val_loss: 0.6764, val_accuracy: 0.5875
2024-12-20 15:57:50,542 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=SGD, Layers=2...
2024-12-20 15:57:50,974 [INFO]: Epoch 1/50: loss: 0.7752, accuracy: 0.5000, val_loss: 0.7400, val_accuracy: 0.5375
2024-12-20 15:57:59,213 [INFO]: Epoch 50/50: loss: 0.6869, accuracy: 0.6500, val_loss: 0.6852, val_accuracy: 0.6625
2024-12-20 15:58:00,273 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=SGD, Layers=3...
2024-12-20 15:58:00,730 [INFO]: Epoch 1/50: loss: 0.7064, accuracy: 0.5000, val_loss: 0.6938, val_accuracy: 0.5375
2024-12-20 15:58:09,093 [INFO]: Epoch 50/50: loss: 0.6933, accuracy: 0.4958, val_loss: 0.6928, val_accuracy: 0.5375
2024-12-20 15:58:10,200 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=BGD, Layers=1...
2024-12-20 15:58:10,475 [INFO]: Epoch 1/50: loss: 0.9952, accuracy: 0.5000, val_loss: 0.9337, val_accuracy: 0.5375
2024-12-20 15:58:12,141 [INFO]: Epoch 50/50: loss: 0.9903, accuracy: 0.5000, val_loss: 0.9293, val_accuracy: 0.5375
2024-12-20 15:58:13,181 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=BGD, Layers=2...
2024-12-20 15:58:13,472 [INFO]: Epoch 1/50: loss: 0.8428, accuracy: 0.5000, val_loss: 0.8014, val_accuracy: 0.5375
2024-12-20 15:58:15,132 [INFO]: Epoch 50/50: loss: 0.8400, accuracy: 0.5000, val_loss: 0.7990, val_accuracy: 0.5375
2024-12-20 15:58:16,325 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=BGD, Layers=3...
2024-12-20 15:58:16,647 [INFO]: Epoch 1/50: loss: 0.8134, accuracy: 0.5000, val_loss: 0.7758, val_accuracy: 0.5375
2024-12-20 15:58:18,326 [INFO]: Epoch 50/50: loss: 0.8104, accuracy: 0.5000, val_loss: 0.7733, val_accuracy: 0.5375
2024-12-20 15:58:19,397 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=MBGD, Layers=1...
2024-12-20 15:58:19,715 [INFO]: Epoch 1/50: loss: 0.7150, accuracy: 0.5000, val_loss: 0.7347, val_accuracy: 0.4625
2024-12-20 15:58:21,666 [INFO]: Epoch 50/50: loss: 0.7079, accuracy: 0.5000, val_loss: 0.7257, val_accuracy: 0.4625
2024-12-20 15:58:22,717 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=MBGD, Layers=2...
2024-12-20 15:58:23,049 [INFO]: Epoch 1/50: loss: 0.7757, accuracy: 0.5000, val_loss: 0.8054, val_accuracy: 0.4625
2024-12-20 15:58:25,006 [INFO]: Epoch 50/50: loss: 0.7620, accuracy: 0.5000, val_loss: 0.7887, val_accuracy: 0.4625
2024-12-20 15:58:26,064 [INFO]: Training ANN: LR=0.0001, Epochs=50, Optimizer=MBGD, Layers=3...
2024-12-20 15:58:26,424 [INFO]: Epoch 1/50: loss: 0.6928, accuracy: 0.5000, val_loss: 0.6938, val_accuracy: 0.4625
2024-12-20 15:58:28,391 [INFO]: Epoch 50/50: loss: 0.6928, accuracy: 0.5000, val_loss: 0.6937, val_accuracy: 0.4625
